step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud
45,'C1603928569','3','F',48259,'M1823072687','28007','es_travel',41.45,0
91,'C364635096','4','F',35272,'M1823072687','28007','es_transportation',33.48,0
168,'C1812935919','4','F',58742,'M1823072687','28007','es_transportation',19.98,0
156,'C1476491893','5','F',27962,'M1823072687','28007','es_transportation',49.44,0
152,'C1491844959','6','F',55626,'M1823072687','28007','es_transportation',1.36,0
153,'C2001133685','3','F',00725,'M1823072687','28007','es_transportation',42.86,0
23,'C1948728559','4','F',74203,'M1823072687','28007','es_transportation',0.91,0
23,'C1267365709','3','F',35666,'M1823072687','28007','es_leisure',37.38,0
95,'C320437746','4','F',03209,'M1823072687','28007','es_transportation',2.59,0
167,'C1918088317','3','U',78712,'M1823072687','28007','es_transportation',31.69,0
20,'C133432771','4','U',32616,'M1823072687','28007','es_transportation',36.02,0
6,'C1037622786','2','F',08089,'M1823072687','28007','es_transportation',68.43,0
19,'C1611113200','4','F',50047,'M1823072687','28007','es_transportation',29.75,0
6,'C1562991705','1','F',50409,'M1823072687','28007','es_transportation',0.88,0
78,'C963460752','5','F',45069,'M1823072687','28007','es_transportation',39.97,1
144,'C337109624','2','F',14828,'M1823072687','28007','es_transportation',6.4,0
132,'C334841918','1','U',46464,'M1823072687','28007','es_transportation',45.48,0
5,'C413065793','4','F',57810,'M1823072687','28007','es_transportation',57.42,0
58,'C605859862','2','U',20940,'M1823072687','28007','es_transportation',10.99,0
88,'C1580712621','2','F',91408,'M1823072687','28007','es_leisure',74.76,1
117,'C457497998','5','F',12438,'M547558035','28007','es_leisure',96.17,0
128,'C678697032','5','U',40562,'M1823072687','28007','es_transportation',26.12,0
166,'C1508025585','6','U',31304,'M1823072687','28007','es_transportation',1.75,0
30,'C653835530','2','U',40209,'M1823072687','28007','es_leisure',79.29,0
142,'C1807765388','2','F',52706,'M1823072687','28007','es_transportation',21.39,0
43,'C327430270','5','F',05768,'M1823072687','28007','es_transportation',40.35,0
178,'C2020967123','5','F',04566,'M1823072687','28007','es_transportation',3.6,0
72,'C1927849279','2','F',51514,'M1823072687','28007','es_transportation',46.27,0
87,'C874725016','2','F',71378,'M1823072687','28007','es_transportation',13.66,0
123,'C1369559766','3','F',39700,'M1823072687','28007','es_transportation',154.19,0
158,'C115540448','2','U',10141,'M1823072687','28007','es_transportation',5.85,0
81,'C1067134113','1','U',34341,'M1823072687','28007','es_transportation',7.82,0
109,'C872043603','1','F',27968,'M1823072687','28007','es_transportation',57.71,0
52,'C1121327223','2','U',51390,'M1823072687','28007','es_transportation',45.63,0
117,'C566987196','3','F',94850,'M1823072687','28007','es_transportation',41.38,0
56,'C1477378413','5','U',87892,'M1823072687','28007','es_transportation',97.31,0
150,'C168361707','1','U',46225,'M1823072687','28007','es_transportation',2.88,0
60,'C576436654','1','F',60089,'M1823072687','28007','es_transportation',26.19,0
38,'C1364381627','3','F',74165,'M1823072687','28007','es_transportation',15.08,0
13,'C1953142190','4','U',53724,'M85975013','28007','es_leisure',27.59,0
82,'C1741615821','1','F',01822,'M1823072687','28007','es_transportation',13.2,0
115,'C959506480','3','F',08615,'M1823072687','28007','es_transportation',3.66,0
166,'C1698085181','2','F',14627,'M1823072687','28007','es_transportation',31.35,0
164,'C1207877529','2','F',11302,'M1823072687','28007','es_transportation',25.46,0
19,'C2004941826','4','U',52282,'M1823072687','28007','es_leisure',63.59,0
126,'C764048448','4','F',78004,'M1823072687','28007','es_transportation',4.27,0
159,'C1687903356','5','F',24034,'M1823072687','28007','es_transportation',65.11,0
177,'C393216567','4','F',99853,'M1823072687','28007','es_transportation',0.83,0
161,'C208889378','5','U',53366,'M209847108','28007','es_leisure',82.06,0
68,'C545527660','2','F',60925,'M1823072687','28007','es_transportation',153.47,0
95,'C1194320883','4','F',92614,'M1823072687','28007','es_transportation',43.52,0
71,'C1093826151','0','F',44680,'M1823072687','28007','es_transportation',58.89,1
99,'C1457086535','2','F',48499,'M1823072687','28007','es_transportation',7.11,0
94,'C21207783','4','F',06392,'M1823072687','28007','es_transportation',25.06,0
168,'C1376957295','4','F',60553,'M1823072687','28007','es_transportation',57.8,0
174,'C810569063','3','F',32230,'M1823072687','28007','es_leisure',85.5,0
6,'C2012683959','1','F',26328,'M1823072687','28007','es_transportation',1.67,0
73,'C318417129','1','F',72204,'M1823072687','28007','es_travel',44.03,0
73,'C1830714840','2','F',52948,'M1823072687','28007','es_transportation',56.24,0
174,'C1074203200','2','F',54330,'M1823072687','28007','es_transportation',11.16,0
150,'C1551572984','2','F',10810,'M1823072687','28007','es_wellnessandbeauty',37.71,0
104,'C1933962406','3','F',32545,'M1823072687','28007','es_transportation',13.62,0
81,'C810134226','1','U',89782,'M1823072687','28007','es_transportation',42.99,0
75,'C1051682954','6','F',71430,'M1823072687','28007','es_transportation',17.11,0
123,'C2057462116','2','F',52960,'M1823072687','28007','es_transportation',53.58,0
54,'C636259913','5','U',44427,'M1823072687','28007','es_transportation',44.47,0
50,'C1555447628','2','F',52169,'M1823072687','28007','es_transportation',19.91,0
125,'C1338020899','5','F',72703,'M1823072687','28007','es_transportation',44.06,0
40,'C1622124632','2','F',48588,'M1823072687','28007','es_transportation',29.04,0
15,'C2109595609','4','F',26622,'M1823072687','28007','es_leisure',267.62,0
75,'C1579865062','5','F',02341,'M1823072687','28007','es_transportation',98.79,0
110,'C967109509','4','F',58983,'M1823072687','28007','es_transportation',18.48,0
80,'C1156346576','2','F',68013,'M1823072687','28007','es_transportation',37.09,0
123,'C732095806','2','F',90019,'M1823072687','28007','es_transportation',49.09,0
109,'C880625364','3','F',48743,'M1823072687','28007','es_leisure',42.74,0
78,'C1732609230','5','F',96996,'M1823072687','28007','es_transportation',48.9,0
94,'C1719044180','3','U',98858,'M1823072687','28007','es_transportation',49.9,0
1,'C1920284556','3','F',29688,'M1823072687','28007','es_transportation',35.19,0
126,'C1963617384','1','F',37200,'M1823072687','28007','es_transportation',2.57,0
40,'C990997956','2','F',54039,'M1823072687','28007','es_transportation',61.67,0
57,'C286236136','3','F',61274,'M1823072687','28007','es_transportation',2.1,0
169,'C1656946498','2','U',43876,'M1823072687','28007','es_transportation',23.75,0
26,'C914000857','2','F',15889,'M1053599405','28007','es_leisure',64.18,0
139,'C207575907','3','F',16351,'M1823072687','28007','es_transportation',22.84,0
116,'C2011875751','1','F',02581,'M1823072687','28007','es_fashion',53.74,0
35,'C1579865062','6','F',27271,'M1823072687','28007','es_transportation',42.04,0
16,'C490558731','1','F',31138,'M1823072687','28007','es_contents',7.56,0
124,'C387520458','3','F',77530,'M1823072687','28007','es_leisure',84.69,0
117,'C1014010834','3','F',44924,'M1823072687','28007','es_contents',23.92,0
24,'C898690183','4','F',84660,'M1823072687','28007','es_transportation',11.24,0
173,'C1435043122','3','F',73405,'M1823072687','28007','es_sportsandtoys',78.44,0
114,'C695481887','3','F',51866,'M1823072687','28007','es_transportation',22.5,0
141,'C1226947303','2','F',54818,'M1823072687','28007','es_transportation',16.18,0
56,'C2143703121','2','F',98781,'M1823072687','28007','es_leisure',83.92,0
149,'C1686098746','4','F',76240,'M1823072687','28007','es_barsandrestaurants',6.26,0
74,'C1807970113','5','F',58004,'M1823072687','28007','es_leisure',195.44,0
165,'C419754917','2','F',95657,'M1823072687','28007','es_transportation',37.59,0
174,'C1991822900','5','F',75971,'M1823072687','28007','es_transportation',38.97,0
110,'C855942730','3','F',09969,'M1823072687','28007','es_leisure',68.0,0
17,'C795132749','4','F',69811,'M1823072687','28007','es_transportation',125.6,0
124,'C433355159','3','F',96748,'M1823072687','28007','es_leisure',31.84,0
54,'C956898918','2','F',61183,'M1823072687','28007','es_transportation',13.66,0
176,'C1263267362','1','U',74076,'M1823072687','28007','es_transportation',5.26,0
91,'C582688427','4','F',63827,'M1823072687','28007','es_transportation',25.14,0
82,'C560478089','4','F',88788,'M1823072687','28007','es_transportation',33.5,0
22,'C1940215857','4','F',25118,'M1823072687','28007','es_transportation',9.98,0
40,'C658256470','3','F',85536,'M1823072687','28007','es_transportation',2.46,0
102,'C1807970113','4','F',67852,'M1823072687','28007','es_transportation',13.03,0
169,'C2035771335','2','F',35655,'M1823072687','28007','es_transportation',152.26,0
75,'C1299368401','2','F',43946,'M1823072687','28007','es_transportation',21.12,0
63,'C1690988973','2','F',19990,'M1823072687','28007','es_transportation',9.88,0
63,'C1802570035','3','F',01999,'M1823072687','28007','es_transportation',9.74,0
171,'C1135201785','5','U',51439,'M1823072687','28007','es_health',25.25,0
65,'C526635102','3','F',54676,'M1823072687','28007','es_transportation',24.18,0
31,'C1189752912','2','F',35133,'M1823072687','28007','es_transportation',3.01,0
116,'C467035555','3','F',13778,'M1823072687','28007','es_transportation',60.42,0
162,'C144168365','5','F',75629,'M1823072687','28007','es_transportation',46.88,0
74,'C285306155','3','F',23875,'M1823072687','28007','es_leisure',216.25,0
129,'C1290093162','3','F',13236,'M1823072687','28007','es_leisure',82.78,0
36,'C1151799720','3','F',73683,'M1823072687','28007','es_leisure',25.28,0
138,'C363287468','2','F',49576,'M1823072687','28007','es_transportation',8.88,0
2,'C1546864044','5','F',44697,'M1823072687','28007','es_leisure',18.3,0
52,'C310220915','4','F',28209,'M1823072687','28007','es_transportation',24.05,0
174,'C1152356495','2','F',58237,'M1823072687','28007','es_transportation',65.85,0
144,'C1702404555','3','F',06229,'M1823072687','28007','es_transportation',56.38,0
92,'C1825950751','4','F',48156,'M1823072687','28007','es_transportation',5.77,0
42,'C1324001180','3','F',56635,'M1823072687','28007','es_transportation',55.53,0
87,'C1977780197','4','E',80044,'M1823072687','28007','es_transportation',7.09,0
135,'C707845856','3','F',53636,'M1823072687','28007','es_transportation',21.61,0
53,'C607521473','4','F',09421,'M1823072687','28007','es_transportation',4.16,0
116,'C1669649966','3','F',35974,'M1823072687','28007','es_transportation',37.39,0
13,'C260437492','4','F',05002,'M1823072687','28007','es_transportation',32.03,0
125,'C474894075','3','F',17251,'M1823072687','28007','es_transportation',34.03,0
158,'C105013970','5','U',45548,'M1823072687','28007','es_transportation',30.57,0
40,'C1029994689','6','U',26920,'M1823072687','28007','es_transportation',119.48,0
10,'C1179833140','5','F',41728,'M1823072687','28007','es_transportation',20.05,1
22,'C169255115','1','F',06088,'M1823072687','28007','es_transportation',2.33,0
159,'C343535530','2','U',18432,'M1823072687','28007','es_leisure',60.86,0
148,'C15276068','4','F',12656,'M855959430','28007','es_leisure',127.67,0
45,'C1304285526','4','F',92397,'M1823072687','28007','es_transportation',36.76,0
118,'C189483600','1','F',12358,'M1823072687','28007','es_transportation',31.15,0
27,'C630871084','2','F',11828,'M1823072687','28007','es_transportation',39.98,0
171,'C949319027','2','F',43045,'M1823072687','28007','es_transportation',36.74,0
87,'C1316160034','3','F',76192,'M1823072687','28007','es_transportation',81.19,0
66,'C662948645','2','F',63235,'M1823072687','28007','es_transportation',64.35,0
110,'C486343841','2','F',32611,'M1823072687','28007','es_transportation',23.97,0
151,'C2063978670','3','F',30975,'M1823072687','28007','es_transportation',7.97,0
18,'C1610565169','2','F',47156,'M1823072687','28007','es_transportation',24.57,0
86,'C858160484','5','F',78305,'M1823072687','28007','es_transportation',86.17,0
140,'C742393642','2','F',87680,'M1823072687','28007','es_transportation',17.16,0
98,'C121798652','3','F',41732,'M1823072687','28007','es_transportation',25.74,0
106,'C741680636','4','F',52772,'M1823072687','28007','es_transportation',12.43,0
167,'C57136184','4','F',48535,'M1823072687','28007','es_transportation',0.29,0
143,'C1936493073','5','U',03321,'M1823072687','28007','es_transportation',11.9,0
54,'C648467088','3','F',84578,'M1823072687','28007','es_leisure',37.51,0
117,'C762614808','2','F',08628,'M1823072687','28007','es_transportation',112.55,1
107,'C974315171','2','F',75395,'M1823072687','28007','es_transportation',15.02,0
60,'C1702053445','6','F',01318,'M1823072687','28007','es_leisure',44.0,0
49,'C684162308','4','U',98010,'M1823072687','28007','es_transportation',57.36,0
158,'C1952040134','4','F',53287,'M1823072687','28007','es_transportation',91.82,0
166,'C1735726583','4','U',33266,'M1823072687','28007','es_travel',92.86,0
87,'C1592390864','5','F',37831,'M1823072687','28007','es_transportation',38.62,0
110,'C211657450','1','F',69096,'M1823072687','28007','es_transportation',5.98,0
26,'C1718591511','3','F',43580,'M1823072687','28007','es_transportation',37.56,0
40,'C116386695','3','F',73530,'M1823072687','28007','es_transportation',42.89,0
158,'C145208657','4','F',08431,'M1823072687','28007','es_transportation',94.16,0
14,'C1681976106','6','F',28868,'M1823072687','28007','es_transportation',47.83,0
3,'C68881864','5','F',35219,'M1823072687','28007','es_transportation',8.84,1
118,'C1214279601','1','F',24094,'M1823072687','28007','es_transportation',6.56,0
113,'C1581709798','5','U',04817,'M1823072687','28007','es_transportation',33.29,0
70,'C383264569','2','F',34385,'M1823072687','28007','es_transportation',27.96,0
50,'C346030769','2','F',05125,'M1823072687','28007','es_leisure',39.37,0
154,'C76313164','6','F',91402,'M1823072687','28007','es_transportation',6.85,0
174,'C1453275851','1','F',65799,'M1823072687','28007','es_transportation',30.21,0
89,'C1542255731','2','U',27983,'M1823072687','28007','es_transportation',13.48,0
131,'C1451561221','5','U',32399,'M1823072687','28007','es_transportation',3.77,0
45,'C75278863','5','F',49573,'M1823072687','28007','es_transportation',77.99,0
113,'C1040272582','2','F',66869,'M1823072687','28007','es_transportation',0.1,0
64,'C1564693206','3','U',96756,'M1823072687','28007','es_transportation',22.85,0
110,'C748216113','3','U',41962,'M1823072687','28007','es_transportation',9.64,0
68,'C16791543','4','F',17908,'M1823072687','28007','es_transportation',11.26,0
114,'C381007057','3','F',87423,'M1823072687','28007','es_leisure',7.52,0
85,'C1816813783','2','F',93420,'M1823072687','28007','es_transportation',44.83,0
108,'C82079505','6','F',46092,'M1823072687','28007','es_transportation',10.85,0
152,'C908342050','4','U',75438,'M1823072687','28007','es_transportation',17.37,0
162,'C534961358','1','F',05109,'M1823072687','28007','es_transportation',52.52,0
129,'C447373253','3','F',77699,'M1823072687','28007','es_transportation',11.88,0
122,'C459123820','1','U',79823,'M151143676','28007','es_leisure',120.24,0
116,'C964866248','1','U',25907,'M1823072687','28007','es_leisure',62.72,0
171,'C1484585237','2','F',09830,'M1823072687','28007','es_transportation',20.61,0
92,'C711859898','4','F',42655,'M1823072687','28007','es_transportation',21.52,0
76,'C1196915447','5','U',31567,'M1823072687','28007','es_transportation',38.28,0
117,'C832611882','3','F',55856,'M1823072687','28007','es_transportation',1.76,0
151,'C1233802034','2','F',10916,'M1823072687','28007','es_transportation',32.07,0
173,'C1815981756','2','F',47362,'M1823072687','28007','es_transportation',1.2,0
28,'C874725016','2','F',35399,'M1823072687','28007','es_leisure',45.95,0
125,'C106397937','3','U',76523,'M1823072687','28007','es_transportation',4.97,0
138,'C846682077','4','F',81763,'M1823072687','28007','es_transportation',12.78,0
101,'C25759288','2','F',43707,'M1823072687','28007','es_transportation',45.29,0
